index,provinceEnglishName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
991,Macau,43,10,0,2020/4/4
992,Hong Kong,845,173,4,2020/4/3
993,Tianjin,180,140,3,2020/4/3
994,Beijing,584,434,8,2020/4/3
995,Taiwan,348,50,5,2020/4/3
996,Shanghai,526,348,6,2020/4/3
997,Guangdong,1514,1368,8,2020/4/3
998,Shaanxi,255,244,3,2020/4/3
999,Sichuan,555,537,3,2020/4/3
1000,Zhejiang,1260,1228,1,2020/4/3
1001,Jiangsu,651,632,0,2020/4/3
1002,Hubei,67802,63612,3203,2020/4/3
1003,Fujian,349,300,1,2020/4/3
1004,Hebei,326,310,6,2020/4/3
1005,Shandong,778,754,7,2020/4/3
1006,Heilongjiang,489,469,13,2020/4/3
1007,Yunnan,184,172,2,2020/4/3
1008,Liaoning,141,124,2,2020/4/2
1009,Taiwan,339,45,5,2020/4/2
1010,Hong Kong,802,147,4,2020/4/2
1011,Hubei,67802,63471,3199,2020/4/2
1012,Beijing,582,424,8,2020/4/2
1013,Fujian,345,299,1,2020/4/2
1014,Hunan,1019,1014,4,2020/4/2
1015,Guangdong,1507,1365,8,2020/4/2
1016,Zhejiang,1258,1228,1,2020/4/2
1017,Jiangsu,647,631,0,2020/4/2
1018,Sichuan,554,537,3,2020/4/2
1019,Shanghai,522,343,6,2020/4/2
1020,Shandong,775,753,7,2020/4/2
1021,Guangxi,254,252,2,2020/4/2
1022,Hebei,325,310,6,2020/4/2
1023,Heilongjiang,488,469,13,2020/4/2
1024,Neimenggu,117,74,1,2020/4/2
1025,Yunnan,183,172,2,2020/4/2
1026,Gansu,138,127,2,2020/4/1
1027,Fujian,345,298,1,2020/4/1
1028,Sichuan,552,537,3,2020/4/1
1029,Hong Kong,765,147,4,2020/4/1
1030,Taiwan,329,39,5,2020/4/1
1031,Tianjin,176,135,3,2020/4/1
1032,Hubei,67802,63326,3193,2020/4/1
1033,Neimenggu,111,74,1,2020/4/1
1034,Guangdong,1501,1357,8,2020/4/1
1035,Shaanxi,255,242,3,2020/4/1
1036,Beijing,580,418,8,2020/4/1
1037,Liaoning,140,124,2,2020/4/1
1038,Hebei,323,310,6,2020/4/1
1039,Shanghai,516,341,6,2020/4/1
1040,Shanxi,137,133,0,2020/4/1
1041,Yunnan,182,172,2,2020/4/1
1042,Tianjin,174,135,3,2020/3/31
1043,Macau,41,10,0,2020/3/31
1044,Guangdong,1494,1356,8,2020/3/31
1045,Hong Kong,714,128,4,2020/3/31
1046,Shanghai,509,341,5,2020/3/31
1047,Taiwan,322,39,5,2020/3/31
1048,Beijing,580,418,8,2020/3/31
1049,Fujian,343,295,1,2020/3/31
1050,Zhejiang,1257,1226,1,2020/3/31
1051,Jiangsu,646,631,0,2020/3/31
1052,Hubei,67801,63153,3187,2020/3/31
1053,Shandong,774,753,7,2020/3/31
1054,Liaoning,139,124,2,2020/3/31
